License_Number,Hospital_Name,Year,City,FICA,State_Unemployment_Compensation,Worker_s_Compensation,Group_Health_Insurance,Group_Life_Insurance,Pension___Retirement,Other_Employee_Benefits,Total_Employee_Benefits,Building_Rent_Lease,Equipment_Rent_Lease,Total_Rent_Lease,Fixed_Assets_Depreciation_Expense_Beginning_Balance_Land,Fixed_Assets_Additions_Land,Fixed_Assets_Retirememts_Land,Fixed_Assets_Ending_Balance_Land,Fixed_Assets_Beginning_Balance_Land_Improvements,Fixed_Assets_Additions_Land_Improvements,Fixed_Assets_Retirememts_Land_Improvements,Fixed_Assets_Ending_Balance_Land_Improvements,Fixed_Assets_Beginning_Balance_Buildings,Fixed_Assets_Additions_Buildings,Fixed_Assets_Retirememts_Buildings,Fixed_Assets_Ending_Balance_Buildings,Fixed_Assets_Beginning_Balance_Fixed_Equip_Building_Service,Fixed_Assets_Additions_Fixed_Equipment_Building_Service,Fixed_Assets_Retirememts_Fixed_Equipment_Building_Service,Fixed_Assets_Ending_Balance_Fixed_Equip_Building_Services,Fixed_Assets_Beginning_Balance_Fixed_Equipment_Other,Fixed_Assets_Additions_Fixed_Equipment_Other,Fixed_Assets_Retirememts_Fixed_Equipment_Other,Fixed_Assets_Ending_Balance_Fixed_Equipment_Other,Fixed_Assets_Beginning_Balance_Equipment_Major_Moveable,Fixed_Assets_Additions_Equipment_Major_Moveable,Fixed_Assets_Retirememts_Equipment_Major_Moveable,Fixed_Assets_Ending_Balance_Equipment_Major_Moveable,Fixed_Assets_Beginning_Balance_Equipment_Minor_Moveable,Fixed_Assets_Additions_Equipment_Minor_Moveable,Fixed_Assets_Retirememts_Equipment_Minor_Moveable,Fixed_Assets_Ending_Balance_Equipment_Minor_Moveable,Fixed_Assets_Beginning_Balance_Leasehold_Improvements,Fixed_Assets_Additions_Leasehold_Improvements,Fixed_Assets_Retirememts_Leasehold_Improvements,Fixed_Assets_Ending_Balance_Leasehold_Improvements,Fixed_Assets_Beginning_Balance_Construction_in_Progress,Fixed_Assets_Additions_Construction_in_Progress,Fixed_Assets_Retirememts_Construction_in_Progress,Fixed_Assets_Ending_Balance_Construction_in_Progress,Fixed_Assets_Total_Beginning_Balance,Fixed_Assets_Total_Additions,Fixed_Assets_Total_Retirememts,Fixed_Assets_Total_Ending_Balance,Accumulated_Depreciation_Beginning_Balance_Land,Accumulated_Depreciation_Provision_Land,Accumulated_Depreciation_Retirements_Land,Accumulated_Depreciation_Ending_Balance_Land,Accumulated_Depreciation_Beginning_Balance_Land_Improvements,Accumulated_Depreciation_Provision_Land_Improvements,Accumulated_Depreciation_Retirements_Land_Improvements,Accumulated_Depreciation_Ending_Balance_Land_Improvements,Accumulated_Depreciation_Beginning_Balance_Buildings,Accumulated_Depreciation_Provision_Buildings,Accumulated_Depreciation_Retirements_Buildings,Accumulated_Depreciation_Ending_Balance_Buildings,Accumulated_Depreciation_Beginning_Balance_Fixed_Equip_Building_Services,Accumulated_Depreciation_Provision_Fixed_Equip_Building_Services,Accumulated_Depreciation_Retirements_Fixed_Equip_Building_Services,Accumulated_Depreciation_Ending_Balance_Fixed_Equipment_Building_Services,Accumulated_Depreciation_Beginning_Balance_Fixed_Equip_Other,Accumulated_Depreciation_Provision_Fixed_Equip_Other,Accumulated_Depreciation_Retirements_Fixed_Equip_Other,Accumulated_Depreciation_Ending_Balance_Fixed_Equipment_Other,Accumulated_Depreciation_Beginning_Balance_Equipment_Major_Moveable,Accumulated_Depreciation_Provision_Equipment_Major_Moveable,Accumulated_Depreciation_Retirements_Equipment_Major_Moveable,Accumulated_Depreciation_Ending_Balance_Equipment_Major_Moveable,Accumulated_Depreciation_Beginning_Balance_Equipment_Minor_Moveable,Accumulated_Depreciation_Provision_Equipment_Minor_Moveable,Accumulated_Depreciation_Retirements_Equipment_Minor_Moveable,Accumulated_Depreciation_Ending_Balance_Equipment_Minor_Moveable,Accumulated_Depreciation_Beginning_Balance_Leasehold_Improvements,Accumulated_Depreciation_Provision_Leasehold_Improvements,Accumulated_Depreciation_Retirements_Leasehold_Improvements,Accumulated_Depreciation_Ending_Balance_Leasehold_Improvements,Accumulated_Depreciation_Beginning_Balance_Construction_in_Progress,Accumulated_Depreciation_Provision_Construction_in_Progress,Accumulated_Depreciation_Retirements_Construction_in_Progress,Accumulated_Depreciation_Ending_Balance_Construction_in_Progress,Accumulated_Depreciation_Total_Beginning_Balance,Accumulated_Depreciation_Total_Provision,Accumulated_Depreciation_Total_Retirements,Total_Ending_Balance,Total_Insurance_Malpractice,Total_Insurance_Other,Total_Insurance,License_Fees,Taxes_Other_than_Income,Other_Licenses___Taxes,Total_Licenses___Taxes,Total_Interest_Working_Cap,Total_Interest_Other,Total_Interest_Expense,Provision_for_Bad_Debt,Medicare_Contractuals_,Medicaid_Contractuals,Workers_Comp_,Other_Government_Programs,Negotiated_Rate_,Other_Contractuals,Total_Contractual_Adjustments,Number_of_Charity_Care_Patients_,Total_Charity_Care,Other_Deductions,Total_Deductions_from_Revenue
138,Swedish Edmonds,2020,Edmonds,7181499,0,0,0,0,6971840,487077,14640416,10556098,988667,11544765,0,0,0,0,2551,0,0,2551,59918078,2227493,502870,62648441,0,0,0,0,2361358,646892,0,3008250,55237602,3248793,988253,59474648,0,0,0,0,15163930,2903118,0,18067048,6132958,-3924385,-743357,1465216,138816477,5101911,747766,144666154,0,0,0,0,2818659,1042878,0,3861537,11679556,3168985,0,14848541,0,0,0,0,915353,216632,0,1131985,45296724,3450313,931850,49678887,0,0,0,0,0,0,0,0,0,0,0,0,60710292,60710292,60710292,182130876,0,172141,172141,167815,9715350,0,9883165,-103230,1892301,1789071,10974963,324163726,129856013,5370941,17986955,142449118,14531147,634357900,937,19649601,0,664982464
139,HOLY FAMILY HOSPITAL,2020,Spokane,4522430,231209,-82990,0,0,1262808,94478,6027935,506689,750711,1257400,3181105,0,0,3181105,2540480,0,0,2540480,95165376,1944676,-230657,96879395,0,0,0,0,6679951,0,0,6679951,39508606,766871,-36834,40238643,0,0,0,0,1095646,0,0,1095646,2455894,163410,-382608,2236696,150627058,2874957,-650099,152851916,0,0,0,0,3211314,108937,0,3320251,56031928,2689199,-8808,58712319,0,0,0,0,5646463,117683,-1803,5762343,32657215,1838847,0,34496062,0,0,0,0,0,0,0,0,0,0,0,0,97546920,97546920,97546920,292640760,0,782,782,64773,6842022,0,6906795,-272345,1853637,1581292,5162910,245433783,123932264,5408244,22985578,71391377,1728599,470879845,573,7583479,0,483626234
140,Kittitas Valley Healthcare,2020,Ellensburg,3001491,50635,248427,4398714,54132,2607612,137070,10498081,656948,707395,1364343,2444730,364130,0,2808860,418230,10776,0,429006,41359356,5281532,0,46640888,4466043,2497932,0,6963975,0,0,0,0,30028874,2495137,0,32524011,0,0,0,0,0,0,0,0,4350909,-4064364,0,286545,83068142,6585143,0,89653285,0,0,0,0,425200,5421,0,430621,16858256,1604115,0,18462371,3775812,368801,0,4144613,0,0,0,0,21513937,2321171,0,23835108,0,0,0,0,0,0,0,0,0,0,0,0,42573205,42573205,42573205,127719615,309062,236959,546021,147019,645703,0,792722,0,607942,607942,3401565,29937591,17347834,0,0,21322729,0,68608154,1040,1059050,2427567,75496336
141,Columbia County Public Hospital District No. 1,2020,Dayton,806548,27355,169211,1052530,0,148408,19892,2223944,27832,178097,205929,204226,0,0,204226,470947,0,0,470947,10312703,152632,0,10465335,0,0,0,0,6983565,38991,0,7022556,4085094,546060,0,4631154,0,0,0,0,0,0,0,0,176927,431529,408760,1017216,22233462,1169212,408760,23811434,0,0,0,0,331923,22943,0,354866,5180523,471268,0,5651791,0,0,0,0,6086837,78592,0,6165429,3033720,459179,0,3492899,0,0,0,0,0,0,0,0,0,0,0,0,14633003,14633003,14633003,43899009,117236,54876,172112,23750,149649,0,173399,369314,30979,400293,544046,1541542,2813737,0,0,0,2557803,6913082,0,171434,0,7628562
142,St Michael Medical Center,2020,Silverdale,12797251,952685,1854237,21625856,335915,9339683,788644,47694271,12588960,2585731,15174691,10245719,-1800000,1750000,10195719,2319119,0,165970,2485089,99727204,0,0,99727204,15429086,-109905,7102773,22421954,5283866,-211682,289335,5361519,157648655,-4300413,1648864,154997106,0,0,0,0,33510769,-1146556,-1639881,30724332,279920957,150839625,0,430760582,604085375,143271069,9317061,756673505,0,0,0,0,578966,117443,43011,739420,51716521,13704496,0,65421017,4708223,2742379,1372943,8823545,3510153,476014,220644,4206811,113558304,18362672,5554540,137475516,0,0,0,0,20041671,2786873,2254305,25082849,0,0,0,0,194113838,194113838,194113838,582341514,4814550,680828,5495378,0,15141138,0,15141138,0,-10715891,-10715891,7170735,1227684165,352878761,0,0,0,502986823,2083549749,16200,26370436,13003088,2130094008
145,PeaceHealth St Joseph Medical Center,2020,Bellingham,15280486,378084,1578332,27773602,181361,13990083,1697255,60879203,5128732,1154833,6283565,115603655,9604330,0,125207985,26747734,885356,0,27633090,1482077363,27043814,12524,1509133701,0,0,0,0,239837880,34433347,0,274271227,930731617,111289292,38308651,1080329560,0,0,0,0,57735524,9723132,0,67458656,151440475,-57880354,0,93560121,3004174248,135098917,38321175,3177594340,0,0,0,0,19814046,1017608,0,20831654,869802365,42231544,0,912033909,0,0,0,0,149665328,10798350,0,160463678,664166372,82097178,36994530,783258080,0,0,0,0,36334204,2783145,0,39117349,0,0,0,0,1739782315,1739782315,1739782315,5219346945,3802267,1016753,4819020,461846,17015881,0,17477727,0,134075,134075,6963367,670064607,222171835,6790148,27615439,101311970,-10320200,1017633799,37852,37202848,3654836,1065454850
147,Mid Valley Hospital,2020,Omak,1138277,61644,260936,2138745,39677,265615,45027,3949921,2600,269874,272474,146306,0,0,146306,1128016,-25506,0,1102510,7901929,15660,0,7917589,5860084,25605,0,5885689,290017,8743,773,299533,10880522,461410,1004209,12346141,0,0,0,0,0,0,0,0,54218,51093,54218,159529,26261092,537005,1059200,27857297,0,0,0,0,831003,22760,0,853763,4582787,279099,0,4861886,2888371,289539,0,3177910,165881,11923,773,178577,6664790,1401879,995385,9062054,0,0,0,0,0,0,0,0,0,0,0,0,15132832,15132832,15132832,45398496,373523,147974,521497,34620,179368,0,213988,285797,0,285797,1231513,15627036,11981260,1163374,357702,3857370,0,32986742,2155,1274683,4317424,39810362
150,Douglas Lincoln and Okanogan Public Hospital Di,2020,Grand Coulee,1022150,15348,142726,2263419,0,255540,227499,3926682,1994711,566825,2561536,222805,0,0,222805,2700469,0,0,2700469,21919998,17491,0,21937489,714858,7025,0,721883,0,0,0,0,9061742,374242,-102453,9333531,0,0,0,0,0,0,0,0,0,0,0,0,34619872,398758,-102453,34916177,0,0,0,0,1798770,92806,0,1891576,10355059,1018461,-62966,11310554,645596,56288,4071,705955,0,0,0,0,7859760,363324,-60640,8162444,0,0,0,0,0,0,0,0,0,0,0,0,20659185,20659185,20659185,61977555,218325,140996,359321,18125,138600,0,156725,0,1282327,1282327,490289,6079195,6189213,0,0,0,4322611,16591019,728,174546,0,17255854
152,Public Hospital District No 1 of Mason County WA,2020,Shelton,3452101,88216,159180,10030183,82541,2641830,141484,16595535,179554,645899,825453,2015497,0,0,2015497,4737949,6272250,0,11010199,36062078,21272592,0,57334670,21068464,11287499,159893,32515856,0,0,0,0,35437084,5142586,1508498,42088168,0,0,0,0,1163193,0,0,1163193,36681869,7818471,42961404,87461744,137166134,51793398,44629795,233589327,0,0,0,0,1967168,754375,0,2721543,18856627,2423012,0,21279639,10723632,1740033,159893,12623558,0,0,0,0,29111231,2559725,1508498,33179454,0,0,0,0,299755,173347,0,473102,0,0,0,0,60958413,60958413,60958413,182875239,369755,359373,729128,0,652818,0,652818,0,2988597,2988597,3535411,63892043,45061928,1273970,0,25898331,0,136126272,2138,4378512,2894364,146934559
153,Whitman Hospital and Medical Clinics,2020,Colfax,1078356,43006,134053,2196344,32035,513622,60591,4058007,0,81139,81139,397262,0,0,397262,492259,0,0,492259,37703063,84410,0,37787473,0,0,0,0,4327887,105260,0,4433147,10531213,744733,137150,11413096,0,0,0,0,0,0,0,0,0,357963,0,357963,53451684,1292366,137150,54881200,0,0,0,0,416371,12414,0,428785,19493423,1605157,0,21098580,0,0,0,0,2615882,492133,0,3108015,8841840,601078,137148,9580066,0,0,0,0,0,0,0,0,0,0,0,0,31367516,31367516,31367516,94102548,178455,0,178455,0,268937,0,268937,0,286952,286952,1147015,8852412,4438000,0,0,3748579,0,17038991,115,230363,229886,18646255
155,Valley Medical Center,2020,Renton,24719568,1196941,1742202,44719876,374886,18542121,2251653,93547247,12259446,1201875,13461321,13413733,611800,0,14025533,18842456,10360,75095,18927911,472506231,20675843,7326276,500508350,0,0,0,0,22669896,37835,0,22707731,181288626,20959539,4054906,206303071,21398777,557307,224563,22180647,22685128,1661589,621987,24968704,32804243,4955223,0,37759466,785609090,49469496,12302827,847381413,0,0,0,0,12445825,308549,33820,12788194,195969241,15160023,687838,211817102,0,0,0,0,20818826,240371,0,21059197,143609694,15562268,3960508,163132470,14972351,1634628,221505,16828484,12662073,1501959,423777,14587809,0,0,0,0,400478010,400478010,400478010,1201434030,6390222,962376,7352598,1355160,7507575,0,8862735,0,0,0,15761140,625949891,344040976,15449218,16534112,384096703,144105965,1530176865,17501,21427222,26589169,1593954396
156,WhidbeyHealth,2020,Coupeville,3958177,378201,932925,5300580,171641,1581687,1279629,13602840,811845,522240,1334085,2794220,728467,0,3522687,6914863,0,0,6914863,85408167,0,139,85408306,0,0,0,0,32696916,1625040,81709,34403665,0,0,0,0,3032135,2379,0,3034514,0,0,0,0,409051,4823960,2778006,8011017,131255352,7179846,2859854,141295052,0,0,0,0,2503463,550290,40888,3094641,23847496,4400639,375238,28623373,0,0,0,0,549056,361885,7124,918065,63770,108619,5668,178057,27643293,652697,72697,28368687,565288,33133,3880,602301,0,0,0,0,55172366,55172366,55172366,165517098,483992,496019,980011,122462,825164,0,947626,0,458127,458127,16179694,-3005629,2573358,0,21952491,106278793,-60282,127738731,1072,403729,2010833,146332987
157,St. Luke's Rehabilitation Institute,2020,Spokane,2138036,323722,-40835,0,0,1438273,4159459,8018655,354335,201913,556248,622797,0,0,622797,587456,0,0,587456,21162488,15774432,1432774,38369694,6336232,299143,3814,6639189,979108,258587,275833,1513528,5099176,0,618820,5717996,686414,0,558342,1244756,0,0,0,0,771702,-771702,0,0,36245373,15560460,2889583,54695416,0,0,0,0,586224,1232,0,587456,13572748,1131403,-1753877,12950274,4630549,149074,3814,4783437,971294,12057,275833,1259184,4195446,264957,591187,5051590,686414,13899,558341,1258654,0,0,0,0,0,0,0,0,24642675,24642675,24642675,73928025,0,0,0,0,-48985,0,-48985,0,4019,4019,-1088186,25554479,13236356,3008813,3204668,0,8492847,53497163,0,545840,0,52954817
158,Cascade Medical Center,2020,Leavenworth,836557,16004,107509,1359362,11000,164832,77352,2572616,19691,91058,110749,522015,0,0,522015,1367240,0,0,1367240,10384322,118227,0,10502549,0,0,0,0,8419530,56896,0,8476426,4731514,849057,568457,6149028,0,0,0,0,0,0,0,0,86498,0,79426,165924,25511119,1024180,647883,27183182,0,0,0,0,716417,87067,0,803484,5639620,523003,0,6162623,0,0,0,0,4721682,512665,0,5234347,3918685,269711,568457,4756853,0,0,0,0,0,0,0,0,0,0,0,0,14996404,14996404,14996404,44989212,94848,106950,201798,73623,81850,0,155473,415138,0,415138,762458,4283188,2414012,0,0,0,2876704,9573904,160,393009,0,10729371
159,Providence St. Peter Hospital,2020,Olympia,14708369,542984,-261974,0,0,3782811,908644,19680834,404170,4380459,4784629,3679314,0,0,3679314,4959466,0,0,4959466,180911957,1873919,347501,183133377,0,0,0,0,44093977,0,0,44093977,118138367,744588,1424062,120307017,0,0,0,0,1558898,0,0,1558898,7873561,4752000,-814987,11810574,361215540,7370507,956576,369542623,0,0,0,0,5579850,158068,0,5737918,102241877,7695949,-11677,109926149,0,0,0,0,42142651,390433,0,42533084,106538572,3673175,1428146,111639893,0,0,0,0,0,0,0,0,0,0,0,0,256502950,256502950,256502950,769508850,0,7341,7341,174281,19467514,0,19641795,-436127,1556315,1120188,13409379,931263042,273065579,10546491,81894850,263851599,6351240,1566972801,1157,22754312,0,1603136492
161,Kadlec Regional Medical Center,2020,Richland,17911712,840934,-315679,18139,0,4979267,977383,24411756,17208494,1786807,18995301,9509108,0,-861235,8647873,0,0,0,0,177269282,17778382,-5170835,189876829,0,0,0,0,22929482,0,0,22929482,94930490,5254085,-11815814,88368761,0,0,0,0,4112920,0,0,4112920,27588516,-9580232,-3605609,14402675,336339798,13452235,-21453493,328338540,0,0,0,0,1801224,275455,-118461,1958218,25726475,5707129,-5989908,25443696,0,0,0,0,4912750,1230475,0,6143225,55644297,11336968,-8757627,58223638,0,0,0,0,0,0,0,0,0,0,0,0,88084746,88084746,88084746,264254238,0,-1590682,-1590682,1660113,19728496,0,21388609,-236692,10297824,10061132,16293246,626220088,312958610,17285608,38276984,304562789,21197727,1320501806,3419,40432630,0,1377227682
162,Sacred Heart Medical Center,2020,Spokane,22328871,662286,-385894,42499,0,6305697,431905,29385364,3549580,4624074,8173654,10204043,0,758498,10962541,21279519,0,0,21279519,365952851,3212,-844391,365111672,0,0,0,0,13959218,0,0,13959218,207211612,7263789,55898,214531299,0,0,0,0,258775,0,0,258775,7694170,768239,-3753195,4709214,626560188,8035240,-3783190,630812238,0,0,0,0,20438949,484735,0,20923684,238121535,10182044,0,248303579,0,0,0,0,10284490,859369,0,11143859,182486404,7477593,-27013,189936984,0,0,0,0,0,0,0,0,0,0,0,0,451331378,451331378,451331378,1353994134,0,100,100,325493,26552500,0,26877993,-1571580,6699224,5127644,15855239,820707642,472071121,12527325,105061319,323608348,11647171,1745622926,1264,22719394,0,1784197559
164,EvergreenHealth Kirkland / King Country Public Ho,2020,Kirkland,25386270,1298310,2638618,40248712,203216,19533469,3190480,92499075,12517188,2946918,15464106,4913660,0,0,4913660,13718296,0,594384,14312680,336138182,4238176,0,340376358,127496858,2784576,1874,130283308,50609,0,27486,78095,297478484,18248091,14623251,330349826,0,0,0,0,38462716,1477906,0,39940622,25691087,24995417,26112651,76799155,843949892,51744166,41359646,937053704,0,0,0,0,11543030,359409,594384,12496823,171122096,11338083,0,182460179,91988697,4267676,1874,96258247,47807,947,27486,76240,226932187,17854953,14623251,259410391,0,0,0,0,21487265,2482053,0,23969318,0,0,0,0,523121082,523121082,523121082,1569363246,1393996,1383198,2777194,403403,6687513,0,7090916,9105986,0,9105986,14990941,591409889,134379928,8744407,6818196,470314582,382577,1212049579,3962,8243072,5233395,1240516987
165,Lake Chelan Health,2020,Chelan,1048657,90853,43694,3281171,0,252776,114910,4832061,209611,190648,400259,4168630,0,0,4168630,619271,0,0,619271,5141340,0,0,5141340,948945,32244,0,981189,0,0,0,0,8471675,360009,123025,8954709,0,0,0,0,0,0,0,0,2504522,1393171,0,3897693,21854383,1785424,123025,23762832,0,0,0,0,478726,9732,0,488458,4323712,139472,0,4463184,870532,19190,0,889722,0,0,0,0,6945971,491951,123025,7560947,0,0,0,0,0,0,0,0,0,0,0,0,12618941,12618941,12618941,37856823,240086,42281,282367,5378,204414,0,209792,1222271,12941,1235212,-1201071,5146470,4802020,0,0,5660512,0,15609002,169,577285,90425,15075641
167,Ferry County Memorial Hospital,2020,Republic,516023,27235,38386,1103628,0,82823,10098,1778193,128675,10450,139125,27282,0,0,27282,308854,248079,0,556933,8947146,0,0,8947146,0,0,0,0,1897028,12599,82682,1992309,4322999,165794,17080,4505873,0,0,0,0,0,0,0,0,0,0,0,0,15503309,426472,99762,16029543,0,0,0,0,204654,14912,0,219566,4340718,445992,0,4786710,0,0,0,0,1822878,15131,78061,1916070,3062453,326657,12860,3401970,0,0,0,0,0,0,0,0,0,0,0,0,9430703,9430703,9430703,28292109,59388,33730,93118,76029,0,0,76029,180367,0,180367,418149,3173893,1957189,0,0,0,2007650,7138732,62,117488,0,7674369
168,Confluence Health: Central Washington Hospital,2020,Wenatchee,8955063,299414,867384,23081909,84000,6130535,288248,39706553,2813973,0,2813973,8276004,0,0,8276004,5369229,0,289129,5658358,136358267,669509,0,137027776,78547029,0,298507,78845536,0,0,0,0,115435711,1762343,45475,117243529,0,0,0,0,0,0,0,0,6276734,9753684,0,16030418,350262974,12185536,633111,363081621,0,0,0,0,3792697,21758,0,3814455,54956981,3550833,0,58507814,48441966,3051627,0,51493593,0,0,0,0,95396522,5344596,0,100741118,0,0,0,0,0,0,0,0,0,0,0,0,202588166,202588166,202588166,607764498,6686651,0,6686651,228524,3183754,7004986,10417264,4394988,19539,4414527,10099281,389252843,156511611,3999030,0,0,85999402,635762886,3687,10028002,5084402,660974571
170,PeaceHealth Southwest Medical Center,2020,Vancouver,18077160,336594,1472275,30128788,212306,17721119,1905711,69853953,10055631,2582546,12638177,115603655,9604330,0,125207985,26747734,885356,0,27633090,1482077363,27043814,12524,1509133701,0,0,0,0,239837880,34433347,0,274271227,930731617,111289292,38308651,1080329560,0,0,0,0,57735524,9723132,0,67458656,151440475,-57880354,0,93560121,3004174248,135098917,38321175,3177594340,0,0,0,0,19814046,1017608,0,20831654,869802365,42231544,0,912033909,0,0,0,0,149665328,10798350,0,160463678,664166372,82097178,36994530,783258080,0,0,0,0,36334204,2783145,0,39117349,0,0,0,0,1739782315,1739782315,1739782315,5219346945,4743729,1284268,6027997,515750,18401699,0,18917449,0,697015,697015,17638885,783575281,302541315,9935509,34904083,236762445,21073408,1388792041,18760,54658806,3897381,1464987113
172,Public Hospital District #1-A of Whitman County,2020,Pullman,2148390,82592,146254,3618146,12596,967674,604928,7580580,137586,465393,602979,1813305,0,0,1813305,3741283,0,47810,3789093,17930955,1095339,523018,19549312,15339337,482573,28382,15850292,1111042,0,55152,1166194,15714511,723591,785667,17223769,0,0,0,0,0,0,0,0,1148208,434773,1511833,3094814,56798641,2736276,2951862,62486779,0,0,0,0,1858766,104222,47810,2010798,4697415,751965,522951,5972331,11885210,492229,28384,12405823,965193,14303,55152,1034648,11067202,1423515,784763,13275480,0,0,0,0,0,0,0,0,0,0,0,0,30473786,30473786,30473786,91421358,177060,147749,324809,4568,688112,0,692680,506598,959,507557,2093459,23393383,7143453,758000,569160,0,23540432,55404428,529,789958,1323679,59611524
173,Arbor Health,2020,Morton,1020162,53144,315910,1688310,103390,618968,129622,3929506,0,223327,223327,968600,30000,0,998600,1426739,0,0,1426739,17053317,382804,0,17436121,0,0,0,0,2677876,0,0,2677876,7506412,683454,0,8189866,0,0,0,0,0,0,0,0,405798,86772,0,492570,30038742,1183030,0,31221772,0,0,0,0,1056286,55206,0,1111492,11796926,690348,27854,12515128,0,0,0,0,1710513,127478,0,1837991,6005600,934491,43520,6983611,0,0,0,0,0,0,0,0,0,0,0,0,20569325,20569325,20569325,61707975,89929,124277,214206,23249,218655,0,241904,0,441484,441484,521296,5218732,4686320,141190,0,0,3949045,13995287,0,413112,656144,15585839
175,Mary Bridge Children's Hospital,2020,Tacoma,6877863,0,0,10506323,0,0,8967957,26352143,4702654,18858,4721512,774202,0,0,774202,472407,0,0,472407,141185555,2485563,0,143671118,0,0,0,0,3354416,32121,0,3386537,33164958,4185249,0,37350207,0,0,0,0,6233435,4749928,0,10983363,0,0,0,0,185184973,11452861,0,196637834,0,0,0,0,394963,10910,0,405873,50405686,4780048,0,55185734,0,0,0,0,3066226,95248,0,3161474,24402920,2630046,0,27032966,0,0,0,0,2476496,830750,0,3307246,0,0,0,0,80746291,80746291,80746291,242238873,3201229,0,3201229,140736,3627396,0,3768132,0,2972912,2972912,5398311,184855,382675118,7665,29834646,0,115507735,528210019,3576,7767742,5122306,546498378
176,Tacoma General / Allenmore,2020,Tacoma,21352708,0,0,35210981,0,0,31136061,87699750,6072039,2467614,8539653,5728063,0,0,5728063,3311378,0,0,3311378,609247965,28707398,0,637955363,0,0,0,0,41317735,1446040,0,42763775,226364647,9665178,536450,236566275,0,0,0,0,11756688,3274086,0,15030774,0,0,0,0,897726476,43092702,536450,941355628,0,0,0,0,1973854,214161,0,2188015,326681321,22454338,0,349135659,0,0,0,0,32336995,1726865,0,34063860,185342503,11243601,209294,196795398,0,0,0,0,10006342,386601,0,10392943,0,0,0,0,556341015,556341015,556341015,1669023045,11111064,0,11111064,318961,8131834,0,8450795,0,9735661,9735661,26619334,1157228076,702921713,24263686,110142665,0,511537936,2506094076,21674,65420178,23412933,2621546521
180,VALLEY HOSPITAL AND MEDICAL CENTER,2020,Spokane,3723024,0,0,5625631,0,0,4527830,13876485,189319,444434,633753,8979210,0,0,8979210,766764,0,0,766764,32498184,1443135,0,33941319,0,0,0,0,1044163,163050,0,1207213,16643571,4829770,23036,21496377,0,0,0,0,135000,0,0,135000,0,0,0,0,60066892,6435955,23036,66525883,0,0,0,0,273844,109538,0,383382,4022336,1796580,0,5818916,0,0,0,0,213501,113673,0,327174,7318495,3303979,9578,10632052,0,0,0,0,46577,18631,0,65208,0,0,0,0,11874753,11874753,11874753,35624259,1584513,0,1584513,22748,1154841,0,1177589,0,2979693,2979693,4171477,279529171,125777279,7850013,33953208,0,121255481,568365152,3947,13504775,4232437,590273841
183,Auburn Medical Center,2020,Auburn,5220235,0,0,8945341,0,0,7117088,21282664,599189,549847,1149036,10662100,0,0,10662100,25230,0,0,25230,137702575,4247868,0,141950443,0,0,0,0,3417228,1908296,0,5325524,40599356,3804267,348648,44752271,0,0,0,0,2438865,0,0,2438865,0,0,0,0,194845354,9960431,348648,205154433,0,0,0,0,11605,2770,0,14375,33041154,7417819,0,40458973,0,0,0,0,886577,447448,0,1334025,29872497,3051205,348648,33272350,0,0,0,0,1015846,205738,0,1221584,0,0,0,0,64827679,64827679,64827679,194483037,2303361,0,2303361,56287,2030308,0,2086595,0,3767392,3767392,9388174,249689364,185363770,11007378,22407142,0,98410949,566878603,4673,20389527,6127232,602783536
186,Grays Harbor Count,2020,Elma,1333030,38939,195879,3459021,192635,235982,419061,5874547,59850,106626,166476,1652029,0,0,1652029,4405067,2719,0,4407786,42874012,0,14319,42888331,0,0,0,0,0,0,0,0,11019807,261270,0,11281077,0,0,0,0,0,0,0,0,12441,3661,0,16102,59963356,267650,14319,60245325,0,0,0,0,615182,383066,0,998248,12517001,2244253,0,14761254,0,0,0,0,0,0,0,0,4437183,671353,0,5108536,0,0,0,0,0,0,0,0,0,0,0,0,17569366,17569366,17569366,52708098,238432,0,238432,185198,0,0,185198,1842467,0,1842467,3286544,23014147,17528221,0,0,0,9414529,49956897,4290,2234107,852981,56330529
191,Providence Centralia Hospital,2020,Centralia,4165222,238282,-72084,0,0,1111869,115714,5559003,2742626,1040426,3783052,1127060,0,0,1127060,1145175,0,0,1145175,33586075,633654,-26500,34193229,0,0,0,0,12453451,0,0,12453451,41755652,487295,-26700,42216247,0,0,0,0,1085431,0,0,1085431,1601523,93452,-31495,1663480,92754367,1214401,-84695,93884073,0,0,0,0,1701474,243459,0,1944933,20078784,1739478,-21421,21796841,0,0,0,0,11226560,258583,0,11485143,35287599,1968709,-15616,37240692,0,0,0,0,0,0,0,0,0,0,0,0,68294417,68294417,68294417,204883251,0,2110,2110,16369,4209460,0,4225829,-51596,501759,450163,9009273,360131353,141431262,5518513,22501836,80488640,2086409,612158013,1016,10696715,0,631864001
